match_id,inning-batting,name,position,over-batsman,score,balls_bat,dots,ones,twos,threes,fours,sixes,out,balls_bowl,maidens,runs_bowled,wickets,bowler_extras,wicket_score,wicket_overs,wicket_no,wicket_bowler
733973,2,JJ Bumrah,0,0.0,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,0.0,0,0
733973,2,SL Malinga,0,0.0,0,0,0,0,0,0,0,0,0,24,0,25,1,0,0,0.0,0,0
733973,2,Harbhajan Singh,0,0.0,0,0,0,0,0,0,0,0,0,24,0,34,2,0,0,0.0,0,0
733973,1,Sandeep Sharma,0,0.0,0,0,0,0,0,0,0,0,0,19,0,28,2,1,0,0.0,0,0
733973,1,L Balaji,0,0.0,0,0,0,0,0,0,0,0,0,24,0,38,1,0,0,0.0,0,0
733973,1,AR Patel,0,0.0,0,0,0,0,0,0,0,0,0,24,0,40,0,0,0,0.0,0,0
733973,1,R Dhawan,0,0.0,0,0,0,0,0,0,0,0,0,24,0,23,2,0,0,0.0,0,0
951319,1,Tamim Iqbal,1,0.1,48,26,9,8,0,1,3,4,caught,0,0,0,0,0,94,7.7,2,GH Dockrell
951319,1,Soumya Sarkar,2,0.1,20,13,4,2,3,0,3,0,stumped,0,0,0,0,0,61,4.4,1,AR McBrine
951319,1,Sabbir Rahman,3,4.5,13,9,0,7,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0
951319,2,TJ Murtagh,0,0.0,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0.0,0,0
951319,2,WB Rankin,0,0.0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0.0,0,0
951319,2,KJ O'Brien,0,0.0,0,0,0,0,0,0,0,0,0,6,0,17,0,2,0,0.0,0,0
951319,2,AR McBrine,0,0.0,0,0,0,0,0,0,0,0,0,12,0,20,1,0,0,0.0,0,0
951319,2,GH Dockrell,0,0.0,0,0,0,0,0,0,0,0,0,12,0,17,1,1,0,0.0,0,0
392226,1,G Gambhir,1,0.1,8,11,5,4,2,0,0,0,run out,0,0,0,0,0,19,3.3,2,IK Pathan
392226,1,V Sehwag,2,0.1,9,8,4,1,0,0,2,0,caught,0,0,0,0,0,19,2.6,1,B Lee
392226,1,TM Dilshan,3,2.7,10,19,10,6,0,0,1,0,caught,6,0,7,0,0,51,9.1,4,S Sreesanth
392226,1,AB de Villiers,4,3.4,11,11,6,1,3,0,1,0,caught,0,0,0,0,0,46,7.2,3,S Sreesanth
392226,1,M Manhas,5,7.3,26,25,9,8,5,0,2,0,caught,0,0,0,0,0,101,15.4,5,WA Mota
392226,1,KD Karthik,6,9.2,32,29,10,11,6,1,0,1,caught,0,0,0,0,0,116,19.3,9,IK Pathan
392226,1,MF Maharoof,7,15.5,3,8,6,1,1,0,0,0,bowled,24,0,22,2,6,104,16.6,6,B Lee
392226,1,DL Vettori,8,17.1,1,2,1,1,0,0,0,0,caught,19,0,15,0,0,111,17.6,7,IK Pathan
392226,1,R Bhatia,9,18.1,0,1,1,0,0,0,0,0,caught,18,0,21,0,1,111,18.1,8,B Lee
392226,1,PJ Sangwan,10,18.2,5,5,1,3,1,0,0,0,0,24,0,42,1,0,0,0.0,0,0
392226,1,A Nehra,11,19.4,1,1,0,1,0,0,0,0,0,24,1,6,1,0,0,0.0,0,0
