match-id,team-name,innings,name,batting-position,over-batsman,runs-scored,balls-played,dots,ones,twos,threes,fours,sixes,wicket-method,balls-bowled,maiden-overs,runs-given,wickets,extras,fall-of-wicket-score,fall-of-wicket-overs,fall-of-wicket-no,fall-of-wicket-bowler
1152544,Perth Scorchers,1,CT Bancroft,1,0.1,0,3,3,0,0,0,0,0,caught,0,0,0,0,0,0,0.3,1,JP Faulkner
1152544,Perth Scorchers,1,SM Whiteman,3,0.4,68,40,12,16,4,0,5,4,caught,0,0,0,0,0,117,14.5,6,DJM Moody
1152544,Perth Scorchers,1,M Klinger,2,0.1,0,1,1,0,0,0,0,0,lbw,0,0,0,0,0,1,0.5,2,JP Faulkner
1152544,Perth Scorchers,1,AJ Turner,4,0.6,2,6,4,2,0,0,0,0,bowled,0,0,0,0,0,7,2.1,3,JP Faulkner
1152544,Perth Scorchers,1,HWR Cartwright,5,2.2,29,29,11,13,3,0,1,1,caught,0,0,0,0,0,84,11.3,4,DJM Short
1152544,Perth Scorchers,1,AM Hardie,6,11.4,8,8,2,4,0,0,1,0,run out,18,0,25,2,0,112,14.1,5,DJM Moody
1152544,Perth Scorchers,1,WG Bosisto,7,14.2,3,3,1,1,1,0,0,0,caught,6,0,7,0,0,117,14.6,7,DJM Moody
1152544,Perth Scorchers,1,NM Coulter-Nile,8,14.6,31,16,4,5,2,0,1,3,0,24,0,23,1,0,0,0.0,0,0
1152544,Perth Scorchers,1,AJ Tye,9,15.1,25,12,3,5,0,0,2,2,caught,21,0,39,2,2,155,18.5,8,RP Meredith
1152544,Perth Scorchers,1,M Kelly,10,18.6,0,1,1,0,0,0,0,0,bowled,24,0,37,0,2,155,18.6,9,RP Meredith
1152544,Perth Scorchers,1,Usman Qadir,11,18.7,1,1,0,1,0,0,0,0,0,24,0,41,1,0,0,0.0,0,0
1152544,Hobart Hurricanes,2,MS Wade,1,0.1,8,6,3,2,0,0,0,1,caught,0,0,0,0,0,13,1.4,1,NM Coulter-Nile
1152544,Hobart Hurricanes,2,DJM Short,2,0.1,13,13,7,3,1,0,2,0,caught,18,0,31,1,0,40,5.2,2,AJ Tye
1152544,Hobart Hurricanes,2,CP Jewell,3,1.5,32,20,11,2,0,0,6,1,caught,0,0,0,0,0,55,6.4,3,AM Hardie
1152544,Hobart Hurricanes,2,BR McDermott,4,5.3,16,13,3,8,0,0,2,0,stumped,0,0,0,0,0,93,11.2,4,Usman Qadir
1152544,Hobart Hurricanes,2,GJ Bailey,5,6.5,69,39,6,21,3,0,6,3,caught,0,0,0,0,0,153,17.400000000000002,6,AJ Tye
1152544,Hobart Hurricanes,2,S Milenko,6,11.3,2,3,1,2,0,0,0,0,caught,2,0,1,0,0,96,12.1,5,AM Hardie
1152544,Hobart Hurricanes,2,JP Faulkner,7,12.2,28,20,5,10,1,0,1,2,0,24,0,36,3,0,0,0.0,0,0
1152544,Hobart Hurricanes,2,J Botha,8,17.5,4,3,1,0,0,0,1,0,0,18,0,26,0,0,0,0.0,0,0
1152544,Hobart Hurricanes,2,RP Meredith,0,0.0,0,0,0,0,0,0,0,0,0,24,0,18,2,1,0,0.0,0,0
1152544,Hobart Hurricanes,2,DJM Moody,0,0.0,0,0,0,0,0,0,0,0,0,24,0,40,2,3,0,0.0,0,0
1152544,Hobart Hurricanes,2,JC Archer,0,0.0,0,0,0,0,0,0,0,0,0,10,0,14,0,4,0,0.0,0,0
734015,Sunrisers Hyderabad,1,AJ Finch,1,0.1,8,8,4,2,1,0,1,0,caught,0,0,0,0,0,14,1.3,1,UT Yadav
734015,Sunrisers Hyderabad,1,S Dhawan,2,0.1,20,14,7,3,0,0,4,0,caught,0,0,0,0,0,41,5.4,2,SP Narine
734015,Sunrisers Hyderabad,1,NV Ojha,3,1.4,23,24,14,6,0,0,1,2,caught,0,0,0,0,0,64,8.3,3,Shakib Al Hasan
734015,Sunrisers Hyderabad,1,DA Warner,4,5.5,34,18,3,10,0,0,3,2,caught,0,0,0,0,0,104,13.2,5,UT Yadav
734015,Sunrisers Hyderabad,1,KL Rahul,5,8.4,14,15,7,6,0,0,2,0,lbw,0,0,0,0,0,98,12.4,4,PP Chawla
734015,Sunrisers Hyderabad,1,IK Pathan,6,12.5,23,19,5,9,3,0,2,0,0,18,0,20,0,0,0,0.0,0,0
734015,Sunrisers Hyderabad,1,DJG Sammy,7,13.3,7,16,10,3,2,0,0,0,caught,6,0,7,0,0,129,18.1,6,Shakib Al Hasan
734015,Sunrisers Hyderabad,1,KV Sharma,8,18.2,4,4,1,2,1,0,0,0,run out,24,0,19,1,0,138,19.299999999999997,7,UT Yadav
734015,Sunrisers Hyderabad,1,DW Steyn,9,19.4,1,2,1,1,0,0,0,0,bowled,24,0,24,1,0,142,19.6,8,UT Yadav
734015,Kolkata Knight Riders,2,RV Uthappa,1,0.1,40,33,14,10,2,0,5,1,run out,0,0,0,0,0,59,9.5,2,A Mishra
734015,Kolkata Knight Riders,2,G Gambhir,2,0.1,6,10,7,2,0,0,1,0,caught,0,0,0,0,0,8,1.6,1,DW Steyn
734015,Kolkata Knight Riders,2,MK Pandey,3,2.1,35,32,12,15,1,0,3,1,caught,0,0,0,0,0,104,15.2,3,KV Sharma
734015,Kolkata Knight Riders,2,YK Pathan,4,9.6,39,28,6,17,1,0,2,2,0,0,0,0,0,0,0,0.0,0,0
734015,Kolkata Knight Riders,2,RN ten Doeschate,5,15.3,25,15,2,9,1,0,2,1,0,6,0,8,0,0,0,0.0,0,0
734015,Kolkata Knight Riders,2,M Morkel,0,0.0,0,0,0,0,0,0,0,0,0,24,0,36,0,3,0,0.0,0,0
734015,Kolkata Knight Riders,2,UT Yadav,0,0.0,0,0,0,0,0,0,0,0,0,24,0,24,3,2,0,0.0,0,0
734015,Kolkata Knight Riders,2,SP Narine,0,0.0,0,0,0,0,0,0,0,0,0,24,0,21,1,0,0,0.0,0,0
734015,Kolkata Knight Riders,2,Shakib Al Hasan,0,0.0,0,0,0,0,0,0,0,0,0,18,0,21,2,1,0,0.0,0,0
734015,Kolkata Knight Riders,2,PP Chawla,0,0.0,0,0,0,0,0,0,0,0,0,24,0,24,1,0,0,0.0,0,0
734015,Sunrisers Hyderabad,1,B Kumar,0,0.0,0,0,0,0,0,0,0,0,0,22,0,37,0,0,0,0.0,0,0
734015,Sunrisers Hyderabad,1,A Mishra,0,0.0,0,0,0,0,0,0,0,0,0,24,0,38,0,0,0,0.0,0,0
875549,Hong Kong,1,Irfan Ahmed,1,0.1,11,10,6,1,2,0,0,1,caught,18,0,24,2,1,23,3.3,3,SM Sharif
875549,Hong Kong,1,JJ Atkinson,2,0.1,0,1,1,0,0,0,0,0,caught,0,0,0,0,0,3,0.39999999999999997,1,AC Evans
875549,Hong Kong,1,Nizakat Khan,3,0.49999999999999994,9,6,3,1,0,0,2,0,caught,0,0,0,0,0,21,2.2,2,AC Evans
875549,Hong Kong,1,MS Chapman,4,2.3,24,23,13,2,4,0,2,1,bowled,0,0,0,0,0,51,7.5,4,SM Sharif
875549,Hong Kong,1,Babar Hayat,5,3.4,8,20,13,6,1,0,0,0,caught,0,0,0,0,0,61,12.2,5,RML Taylor
875549,Hong Kong,1,Anshuman Rath,6,7.6,5,15,10,5,0,0,0,0,lbw,0,0,0,0,0,62,12.4,6,RML Taylor
875549,Hong Kong,1,Aizaz Khan,7,12.3,31,21,6,9,3,0,1,2,caught,18,0,19,1,1,99,17.4,8,SM Sharif
875549,Hong Kong,1,Tanwir Afzal,8,12.5,5,8,4,3,1,0,0,0,caught,12,0,34,1,0,86,16.2,7,AC Evans
875549,Hong Kong,1,Haseeb Amjad,9,16.3,5,7,3,3,1,0,0,0,bowled,14,1,15,1,0,103,18.4,9,RML Taylor
875549,Hong Kong,1,KD Shah,10,17.5,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
875549,Hong Kong,1,Nadeem Ahmed,11,18.5,10,4,1,0,1,0,2,0,caught,12,0,21,0,0,116,19.4,10,JH Davey
875549,Scotland,2,KJ Coetzer,1,0.1,33,19,9,1,3,0,5,1,caught,0,0,0,0,0,72,6.4,3,Irfan Ahmed
875549,Scotland,2,CS MacLeod,2,0.1,0,5,5,0,0,0,0,0,bowled,0,0,0,0,0,16,1.5,1,Haseeb Amjad
875549,Scotland,2,MH Cross,3,1.6,39,15,3,3,2,0,5,2,caught,0,0,0,0,0,68,5.5,2,Tanwir Afzal
875549,Scotland,2,HG Munsey,4,5.6,25,19,5,9,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0
875549,Scotland,2,RD Berrington,5,6.5,3,6,3,3,0,0,0,0,caught,6,0,3,0,0,83,8.5,4,Irfan Ahmed
875549,Scotland,2,PL Mommsen,6,8.6,10,7,3,4,0,0,0,1,caught,0,0,0,0,0,111,11.3,5,Aizaz Khan
875549,Scotland,2,JH Davey,7,11.4,4,3,1,1,0,1,0,0,0,22,0,40,1,0,0,0.0,0,0
875549,Scotland,2,AC Evans,0,0.0,0,0,0,0,0,0,0,0,0,24,1,14,3,3,0,0.0,0,0
875549,Scotland,2,SM Sharif,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,3,0,0,0.0,0,0
875549,Scotland,2,RML Taylor,0,0.0,0,0,0,0,0,0,0,0,0,24,0,17,3,0,0,0.0,0,0
875549,Scotland,2,CD de Lange,0,0.0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0.0,0,0
1023631,Perth Scorchers,1,SE Marsh,1,0.1,8,12,6,4,0,0,1,0,caught,0,0,0,0,0,13,3.6,4,SM Boland
1023631,Perth Scorchers,1,M Klinger,2,0.1,3,7,5,1,1,0,0,0,bowled,0,0,0,0,0,6,1.6,1,BW Hilfenhaus
1023631,Perth Scorchers,1,IR Bell,3,2.1,0,1,1,0,0,0,0,0,lbw,0,0,0,0,0,7,2.3,2,MA Beer
1023631,Perth Scorchers,1,CT Bancroft,4,2.4,0,3,3,0,0,0,0,0,lbw,0,0,0,0,0,7,2.6,3,MA Beer
1023631,Perth Scorchers,1,HWR Cartwright,5,3.1,7,12,7,3,0,0,1,0,caught,0,0,0,0,0,34,7.5,5,MP Stoinis
1023631,Perth Scorchers,1,AJ Tye,6,4.1,42,34,11,10,5,0,4,1,caught,24,0,37,0,0,83,14.2,7,BW Hilfenhaus
1023631,Perth Scorchers,1,AJ Turner,7,7.6,15,16,5,9,1,0,1,0,caught,0,0,0,0,0,78,13.2,6,SM Boland
1023631,Perth Scorchers,1,AC Agar,8,13.3,29,20,7,5,3,0,3,1,0,20,0,21,0,0,0,0.0,0,0
1023631,Perth Scorchers,1,TT Bresnan,9,14.3,20,15,5,6,2,0,1,1,0,18,0,22,1,1,0,0.0,0,0
1023631,Melbourne Stars,2,RJ Quiney,1,0.1,39,23,7,9,1,0,6,0,caught,0,0,0,0,0,56,7.5,2,TT Bresnan
1023631,Melbourne Stars,2,LJ Wright,2,0.1,7,11,7,3,0,0,1,0,caught,0,0,0,0,0,31,3.4,1,JA Richardson
1023631,Melbourne Stars,2,KP Pietersen,3,3.5,44,42,12,24,1,0,3,1,0,0,0,0,0,0,0,0.0,0,0
1023631,Melbourne Stars,2,PSP Handscomb,4,7.6000000000000005,3,5,2,3,0,0,0,0,caught,0,0,0,0,0,81,11.2,3,JA Richardson
1023631,Melbourne Stars,2,MP Stoinis,5,11.3,40,23,6,8,3,0,2,3,0,24,0,26,1,2,0,0.0,0,0
1023631,Melbourne Stars,2,MA Beer,0,0.0,0,0,0,0,0,0,0,0,0,24,0,12,2,0,0,0.0,0,0
1023631,Melbourne Stars,2,BW Hilfenhaus,0,0.0,0,0,0,0,0,0,0,0,0,24,0,15,2,0,0,0.0,0,0
1023631,Melbourne Stars,2,SM Boland,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,2,1,0,0.0,0,0
1023631,Melbourne Stars,2,EP Gulbis,0,0.0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0.0,0,0
1023631,Melbourne Stars,2,CJ Gannon,0,0.0,0,0,0,0,0,0,0,0,0,12,0,25,0,1,0,0.0,0,0
1023631,Perth Scorchers,1,MG Johnson,0,0.0,0,0,0,0,0,0,0,0,0,24,0,27,0,1,0,0.0,0,0
1023631,Perth Scorchers,1,JA Richardson,0,0.0,0,0,0,0,0,0,0,0,0,18,0,26,2,0,0,0.0,0,0
682899,Nepal,1,SP Khakurel,1,0.1,22,16,8,3,0,1,4,0,caught,0,0,0,0,0,36,5.1,2,Nadeem Ahmed
682899,Nepal,1,Sagar Pun,2,0.1,13,13,6,5,0,0,2,0,caught,12,0,13,0,0,36,4.4,1,Haseeb Amjad
682899,Nepal,1,G Malla,3,4.5,48,41,14,18,4,0,4,1,caught and bowled,0,0,0,0,0,148,19.3,5,Haseeb Amjad
682899,Nepal,1,P Khadka,4,5.2,41,37,14,10,6,1,4,0,caught,12,0,7,1,0,116,16.2,3,Najeeb Amar
682899,Nepal,1,B Bhandari,5,16.3,1,2,1,1,0,0,0,0,caught,0,0,0,0,0,124,17.1,4,Nadeem Ahmed
682899,Nepal,1,S Vesawkar,6,17.2,14,9,3,2,2,0,2,0,run out,0,0,0,0,0,148,19.4,6,Haseeb Amjad
682899,Nepal,1,NB Budayair,8,19.5,0,1,1,0,0,0,0,0,bowled,0,0,0,0,0,149,19.5,7,Haseeb Amjad
682899,Nepal,1,SP Gauchan,9,19.6,0,1,1,0,0,0,0,0,run out,24,0,9,3,0,149,19.6,8,Haseeb Amjad
682899,Hong Kong,2,Irfan Ahmed,1,0.1,0,1,1,0,0,0,0,0,caught,24,0,30,0,4,0,0.1,1,P Khadka
682899,Hong Kong,2,JJ Atkinson,3,0.2,6,7,3,2,0,0,1,0,bowled,0,0,0,0,0,9,1.6,2,Sompal Kami
682899,Hong Kong,2,Waqas Barkat,2,0.1,18,19,10,6,0,0,3,0,caught,0,0,0,0,0,37,6.4,3,SP Gauchan
682899,Hong Kong,2,Babar Hayat,4,2.1,20,25,13,8,2,0,2,0,bowled,0,0,0,0,0,58,11.1,6,SP Gauchan
682899,Hong Kong,2,MS Chapman,5,6.5,13,12,5,3,3,0,1,0,bowled,0,0,0,0,0,58,10.3,4,B Regmi
682899,Hong Kong,2,Nizakat Khan,6,10.4,0,1,1,0,0,0,0,0,bowled,0,0,0,0,0,58,10.4,5,B Regmi
682899,Hong Kong,2,Tanwir Afzal,7,10.5,0,5,5,0,0,0,0,0,caught,12,0,15,0,0,60,12.3,8,B Regmi
682899,Hong Kong,2,Aizaz Khan,8,11.2,0,3,3,0,0,0,0,0,bowled,18,0,16,0,2,58,11.4,7,SP Gauchan
682899,Hong Kong,2,Najeeb Amar,9,11.5,2,9,8,0,1,0,0,0,caught,18,0,29,1,0,62,13.6,9,Sompal Kami
682899,Hong Kong,2,Haseeb Amjad,10,12.4,4,9,5,4,0,0,0,0,0,24,0,24,3,1,0,0.0,0,0
682899,Hong Kong,2,Nadeem Ahmed,11,14.1,5,11,7,3,1,0,0,0,bowled,24,0,25,2,1,69,16.6,10,JK Mukhiya
682899,Nepal,1,B Regmi,7,19.4,0,0,0,0,0,0,0,0,0,24,0,14,3,0,0,0.0,0,0
682899,Nepal,1,Sompal Kami,0,0.0,0,0,0,0,0,0,0,0,0,18,0,13,2,0,0,0.0,0,0
682899,Nepal,1,JK Mukhiya,0,0.0,0,0,0,0,0,0,0,0,0,12,0,12,1,0,0,0.0,0,0
593727,Australia,1,MM Lanning,1,0.1,60,53,21,19,4,1,6,1,run out,0,0,0,0,0,95,15.2,3,HL Colvin
593727,Australia,1,AJ Healy,2,0.1,9,14,11,1,0,0,2,0,caught,0,0,0,0,0,19,4.5,1,KH Brunt
593727,Australia,1,JE Cameron,3,4.6,7,10,3,7,0,0,0,0,run out,0,0,0,0,0,38,8.4,2,JL Gunn
593727,Australia,1,AJ Blackwell,4,8.5,26,26,5,17,2,0,1,0,caught,0,0,0,0,0,119,18.2,4,JL Gunn
593727,Australia,1,EA Perry,5,15.3,11,10,2,5,3,0,0,0,caught,18,0,20,0,1,122,19.1,5,D Hazell
593727,Australia,1,JM Fields,6,18.3,2,3,1,2,0,0,0,0,run out,0,0,0,0,0,122,19.2,6,D Hazell
593727,Australia,1,EA Osborne,8,19.3,0,1,1,0,0,0,0,0,lbw,24,0,24,0,1,123,19.3,7,D Hazell
593727,Australia,1,SJ Coyte,9,19.4,1,1,0,1,0,0,0,0,0,24,0,29,2,0,0,0.0,0,0
593727,Australia,1,RL Haynes,7,19.2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
593727,England,2,CM Edwards,1,0.1,24,28,12,12,2,0,2,0,caught,0,0,0,0,0,76,13.2,4,HL Ferling
593727,England,2,HC Knight,2,0.1,2,4,2,2,0,0,0,0,bowled,0,0,0,0,0,8,1.4,1,JL Hunter
593727,England,2,SJ Taylor,3,1.5,1,5,4,1,0,0,0,0,caught and bowled,0,0,0,0,0,9,2.3,2,SJ Coyte
593727,England,2,DN Wyatt,4,2.4,0,2,2,0,0,0,0,0,bowled,18,0,25,0,0,9,2.5,3,SJ Coyte
593727,England,2,LS Greenway,5,2.6,80,63,21,21,6,1,11,0,0,0,0,0,0,0,0,0.0,0,0
593727,England,2,NR Sciver,6,13.3,13,12,3,7,1,0,1,0,run out,6,0,11,0,1,116,17.5,5,JL Hunter
593727,England,0,A Brindle,7,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
593727,England,2,KH Brunt,0,0.0,0,0,0,0,0,0,0,0,0,24,0,14,1,1,0,0.0,0,0
593727,England,2,D Hazell,0,0.0,0,0,0,0,0,0,0,0,0,24,1,11,2,0,0,0.0,0,0
