city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
,ICC Cricket World Cup,2015/03/20,,,,,,656487,male,0,,RS Madugalle,,,,JR Hazlewood,BF Bowden,2014/15,,Pakistan,bat,Pakistan,RK Illingworth,HDPK Dharmasena,M Erasmus,Adelaide Oval,Australia,,,6
,,2013/03/28,,,,,,602476,male,0,3,DC Boon,D/L,,,TM Dilshan,MSK Nandiweera,2012/13,Bangladesh in Sri Lanka ODI Series,Bangladesh,bat,Sri Lanka,TH Wijewardene,NJ Llong,RSA Palliyaguruge,Pallekele International Cricket Stadium,Bangladesh,,,3
Guyana,ICC World Cup,2007/03/28,,,,,,247482,male,0,26,JJ Crowe,,true,,SL Malinga,SJA Taufel,2006/07,,Sri Lanka,bat,Sri Lanka,MR Benson,SA Bucknor,DJ Harper,Providence Stadium,South Africa,,,1
,,2006/02/22,,,,,,238176,male,0,2,MJ Procter,,,,DL Vettori,,2005/06,West Indies in New Zealand ODI Series,West Indies,field,New Zealand,AL Hill,BF Bowden,RE Koertzen,Queenstown Events Centre,New Zealand,,,3
,ICC Cricket World Cup,2015/03/13,,,,,,656473,male,0,38,DC Boon,D/L,true,,CJ Jordan,RSA Palliyaguruge,2014/15,,England,field,England,M Erasmus,BF Bowden,S Ravi,Sydney Cricket Ground,England,,,9
Auckland,,2009/03/14,,,,,,366625,male,0,5,RS Madugalle,,,,JD Ryder,WR Knights,2008/09,India in New Zealand ODI Series,India,bat,India,EA Watkin,GAV Baxter,RE Koertzen,Eden Park,New Zealand,,,8
Colombo,,2007/10/10,,,,,,291220,male,0,4,J Srinath,,,,AN Cook,RD Kottahachchi,2007/08,England in Sri Lanka ODI Series,England,bat,Sri Lanka,EAR de Silva,RE Koertzen,TH Wijewardene,R Premadasa Stadium,England,,,5
Taunton,ICC Women's World Cup,2017/07/08,,,,,,1085961,female,0,17,RB Richardson,,true,,HM Rowe,L Rusere,2017,,Pakistan,bat,Pakistan,,GO Brathwaite,Sharfuddoula,County Ground,New Zealand,,,8
London,World Cup,2019/06/23,,,,,,1144512,male,0,30,RS Madugalle,,,,Haris Sohail,S Ravi,2019,,South Africa,bat,Pakistan,CB Gaffaney,JS Wilson,HDPK Dharmasena,Lord's,Pakistan,,49,
Nottingham,,2015/06/17,,,,,,743949,male,0,4,J Srinath,,,,EJG Morgan,MA Gough,2015,New Zealand in England ODI Series,New Zealand,bat,New Zealand,BNJ Oxenford,RJ Bailey,SJ Davis,Trent Bridge,England,,,7
Singapore,Asian Cricket Council Elite League,2014/06/10,,,,,,746097,male,0,,Aminul Islam,,true,,Abdul Waheed,AK Rana,2014,,Saudi Arabia,field,Saudi Arabia,,Hardeep Jadeja,C Madhavan,Indian Association Ground,Saudi Arabia,,,7
London,ICC Champions Trophy,2017/06/18,,,,,,1022375,male,0,,DC Boon,,true,,Fakhar Zaman,HDPK Dharmasena,2017,,Pakistan,field,India,RJ Tucker,M Erasmus,RA Kettleborough,Kennington Oval,Pakistan,,180,
Benoni,ICC World Cricket League Africa Region Qualifiers,2017/04/13,2017/04/14,,,,,1089149,male,0,14,D Govindjee,,true,no result,,A Louw,2017,,Nigeria,bat,Botswana,,R D'Mello,S George,Willowmoore Park B Field,,,,
Dublin,,2007/07/14,,,,,,295788,male,0,5,RS Madugalle,,,no result,,M Russell,2007,Quadrangular Series (Ireland),West Indies,bat,Ireland,,NJ Llong,AM Saheba,Clontarf Cricket Club Ground,,,,
Hamilton,,2014/10/27,,,,,,749775,male,0,3,RS Mahanama,,,no result,,PD Jones,2014/15,South Africa in New Zealand ODI Series,South Africa,field,New Zealand,SJ Davis,CB Gaffaney,RJ Tucker,Seddon Park,,,,
,,2015/07/11,,,,,,860269,male,0,1,J Srinath,,,,Mohammad Hafeez,RR Wimalasiri,2015,Pakistan in Sri Lanka ODI Series,Pakistan,field,Pakistan,RJ Tucker,IJ Gould,REJ Martinesz,Rangiri Dambulla International Stadium,Pakistan,,,6
London,,2008/08/31,,,,,,296917,male,0,4,RS Mahanama,D/L,,,A Flintoff,RA Kettleborough,2008,NatWest Series,South Africa,field,England,IJ Gould,MR Benson,SJA Taufel,Lord's,England,,,7
Chennai,Indian Premier League,2010/03/21,,,,,Kings XI Punjab,419121,male,0,16,S Venkataraghavan,,,tie,J Theron,,2009/10,,Kings XI Punjab,field,Chennai Super Kings,S Das,K Hariharan,DJ Harper,"""MA Chidambaram Stadium",,,,
,,2017/02/16,,,,,,1079246,male,0,1,DT Jukes,D/L,,,Asghar Stanikzai,O Chirombe,2016/17,Afghanistan in Zimbabwe ODI Series,Afghanistan,bat,Afghanistan,L Rusere,S George,RB Tiffin,Harare Sports Club,Afghanistan,,12,
Birmingham,ICC Champions Trophy,2013/06/10,,,,,,578618,male,0,5,J Srinath,,true,,HM Amla,HDPK Dharmasena,2013,,South Africa,bat,South Africa,NJ Llong,BF Bowden,RA Kettleborough,Edgbaston,South Africa,,67,
Mirpur,,2014/02/20,,,,,,690357,male,0,2,DC Boon,,,,KC Sangakkara,Mahfuzur Rahman,2013/14,Sri Lanka in Bangladesh ODI Series,Sri Lanka,bat,Sri Lanka,Sharfuddoula,Anisur Rahman,RJ Tucker,Shere Bangla National Stadium,Sri Lanka,,61,
St Lucia,,2012/03/25,,,,,,540172,male,0,5,AJ Pycroft,,,,DJG Sammy,GO Brathwaite,2011/12,Australia in West Indies ODI Series,Australia,field,West Indies,SK Tarapore,HDPK Dharmasena,PJ Nero,"""Beausejour Stadium",Australia,,30,
Chennai,,2007/01/27,,,,,,267708,male,0,3,AG Hurst,,,,MN Samuels,AY Gokhale,2006/07,West Indies in India ODI Series,West Indies,field,West Indies,GA Pratapkumar,BF Bowden,SL Shastri,"""MA Chidambaram Stadium",West Indies,,,3
,,2012/02/18,,,,,,531633,male,0,3,JJ Crowe,,true,,KP Pietersen,Zameer Haider,2011/12,Pakistan v England ODI Series,Pakistan,bat,Pakistan,HDPK Dharmasena,Aleem Dar,SJA Taufel,Dubai International Cricket Stadium,England,,,9
Napier,,2006/12/28,,,,,,251489,male,0,1,J Srinath,,,,ST Jayasuriya,GAV Baxter,2006/07,Sri Lanka in New Zealand ODI Series,Sri Lanka,bat,New Zealand,EA Watkin,SJ Davis,AL Hill,McLean Park,Sri Lanka,,,7
Colombo,,2012/06/13,,,,,,562441,male,0,3,BC Broad,,,no result,,RA Kottahachchi,2012,Pakistan in Sri Lanka ODI Series,Pakistan,bat,Pakistan,RSA Palliyaguruge,EAR de Silva,PR Reiffel,R Premadasa Stadium,,,,
Medicina,ICC World Cricket League Division Four,2010/08/20,,,,,,467091,male,0,,DT Jukes,,true,,B Regmi,R Hassan,2010,,Nepal,bat,Cayman Islands,,L Fourie,IJ Gould,Centro Sportivo Ca'Nova,Nepal,,,7
Hambantota,,2012/11/10,,,,,,582190,male,0,4,AJ Pycroft,D/L,,,BMAJ Mendis,RR Wimalasiri,2012/13,New Zealand in Sri Lanka ODI Series,New Zealand,field,Sri Lanka,TH Wijewardene,IJ Gould,RSA Palliyaguruge,"""Mahinda Rajapaksa International Cricket Stadium",Sri Lanka,,,7
Centurion,,2006/02/26,,,,,,238196,male,0,1,BC Broad,D/L,,,GC Smith,,2005/06,Australia in South Africa ODI Series,Australia,bat,Australia,KH Hurter,BG Jerling,JW Lloyds,SuperSport Park,South Africa,,,6
Chandigarh,ICC Cricket World Cup,2011/03/11,,,,,,433584,male,0,27,RS Mahanama,,true,,KA Pollard,SJ Davis,2010/11,,West Indies,field,Ireland,BNJ Oxenford,EAR de Silva,SK Tarapore,"""Punjab Cricket Association Stadium",West Indies,,44,
Hobart,Commonwealth Bank Series,2007/01/14,,,,,,249228,male,0,2,RS Madugalle,,,,A Symonds,GJ Luck,2006/07,,New Zealand,bat,Australia,SJ Davis,Asad Rauf,DJ Harper,Bellerive Oval,Australia,,105,
Leeds,World Cup,2019/07/04,,,,,,1144524,male,0,42,BC Broad,,,,SD Hope,P Wilson,2019,,West Indies,bat,West Indies,IJ Gould,CB Gaffaney,NJ Llong,Headingley,West Indies,,23,
Ranchi,,2016/10/26,,,,,,1030225,male,0,4,RB Richardson,,,,MJ Guptill,Nitin Menon,2016/17,New Zealand in India ODI Series,New Zealand,bat,New Zealand,CK Nandan,AK Chaudhary,BNJ Oxenford,JSCA International Stadium Complex,New Zealand,,19,
Windhoek,ICC World Cricket League Division Two,2015/01/20,,,,,,812789,male,0,,D Govindjee,,true,,SO Ngoche,C Thorburn,2014/15,,Uganda,field,Kenya,,BB Pradhan,IN Ramage,United Cricket Club Ground,Kenya,,,5
Colombo,ICC Cricket World Cup,2011/03/19,,,,,,433596,male,0,40,BC Broad,,true,,Umar Akmal,TH Wijewardene,2010/11,,Pakistan,bat,Australia,NJ Llong,M Erasmus,AL Hill,R Premadasa Stadium,Pakistan,,,4
Colombo,ICC Cricket World Cup,2011/03/05,,,,,,433577,male,0,20,BC Broad,,,no result,,NJ Llong,2010/11,,Australia,bat,Sri Lanka,SK Tarapore,IJ Gould,AL Hill,R Premadasa Stadium,,,,
Chennai,,2011/12/11,,,,,,536933,male,0,5,DC Boon,,,,MK Tiwary,CK Nandan,2011/12,West Indies in India ODI Series,West Indies,bat,India,VA Kulkarni,S Asnani,AL Hill,"""MA Chidambaram Stadium",India,,34,
Mirpur,,2011/10/15,,,,,,531984,male,0,2,AJ Pycroft,,,,MN Samuels,Anisur Rahman,2011/12,West Indies in Bangladesh ODI Series,West Indies,bat,Bangladesh,Sharfuddoula,Nadir Shah,PR Reiffel,Shere Bangla National Stadium,West Indies,,,8
St Lucia,,2013/07/24,,,,,,645643,male,0,5,DC Boon,,,,Misbah-ul-Haq,PJ Nero,2013,Pakistan in West Indies ODI Series,Pakistan,field,Pakistan,SJ Davis,PR Reiffel,JS Wilson,"""Beausejour Stadium",Pakistan,,,4
Bulawayo,Zimbabwe Triangular Series,2010/05/30,,,,,,452147,male,0,2,JJ Crowe,,true,,RG Sharma,C Phiri,2010,,Sri Lanka,field,India,O Chirombe,BG Jerling,RB Tiffin,Queens Sports Club,India,,,7
Visakhapatnam,,2011/12/02,,,,,,536930,male,0,2,DC Boon,,,,V Kohli,,2011/12,West Indies in India ODI Series,West Indies,field,India,S Asnani,AL Hill,S Ravi,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,,,5
Brisbane,,2013/01/18,,,,,,573016,male,0,3,J Srinath,,,,KMDN Kulasekara,JD Ward,2012/13,Sri Lanka in Australia ODI Series,Sri Lanka,bat,Australia,M Erasmus,RA Kettleborough,PR Reiffel,"""Brisbane Cricket Ground",Sri Lanka,,,4
Cardiff,,2006/08/30,,,,,,225245,male,0,1,MJ Procter,,,no result,,PJ Hartley,2006,NatWest Series,Pakistan,field,Pakistan,MR Benson,BR Doctrove,IJ Gould,Sophia Gardens,,,,
Lincoln,,2016/11/11,,,,,,1050607,female,0,2,GAV Baxter,D/L,,,,,2016/17,Pakistan Women in New Zealand ODI Series,Pakistan,bat,New Zealand,,JAK Bromley,ED Sanders,Bert Sutcliffe Oval,New Zealand,,60,
