city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Kuala Lumpur,DLF Cup,2006/09/16,,,,,,256608,male,0,3,BC Broad,,true,no result,,Sarika Prasad,2006/07,,India,bat,Australia,Asad Rauf,MR Benson,AL Hill,Kinrara Academy Oval,,,,
Hamilton,ICC Cricket World Cup,2015/03/10,,,,,,656465,male,0,34,BC Broad,,true,,S Dhawan,NJ Llong,2014/15,,Ireland,bat,Ireland,JD Cloete,HDPK Dharmasena,RA Kettleborough,Seddon Park,India,,,8
Bangalore,ICC Cricket World Cup,2011/02/27,,,,,,433568,male,0,11,RS Mahanama,,,tie,AJ Strauss,Aleem Dar,2010/11,,England,bat,India,RJ Tucker,BF Bowden,M Erasmus,M Chinnaswamy Stadium,,,,
Napier,,2010/02/05,,,,,,423783,male,0,1,AG Hurst,,,,JDP Oram,CB Gaffaney,2009/10,Bangladesh in New Zealand ODI Series,Bangladesh,bat,New Zealand,GAV Baxter,RA Kettleborough,EA Watkin,McLean Park,New Zealand,,146,
St Vincent,,2010/03/14,,,,,,439144,male,0,5,RS Mahanama,,,,CH Gayle,GE Greaves,2009/10,Zimbabwe in West Indies ODI Series,Zimbabwe,field,West Indies,CE Mack,NA Malcolm,SJA Taufel,"""Arnos Vale Ground",West Indies,,,4
Brisbane,ICC Cricket World Cup,2015/03/01,,,,,,656443,male,0,23,JJ Crowe,,true,,Wahab Riaz,RSA Palliyaguruge,2014/15,,Zimbabwe,bat,Pakistan,PR Reiffel,RA Kettleborough,JS Wilson,"""Brisbane Cricket Ground",Pakistan,,20,
Dublin,,2011/08/25,,,,,,483126,male,0,,DT Jukes,D/L,,,EJG Morgan,J Andrews,2011,,England,field,Ireland,RJ Bailey,SJ Davis,M Hawthorne,Clontarf Cricket Club Ground,England,,11,
Navile,ICC World Cricket League Division Four,2010/08/20,,,,,,467092,male,0,,DT Jukes,,,,PA Petricola,C Young,2010,,Tanzania,bat,Italy,,CA McElwee,K Smith,Centro Sportivo Dozza,Italy,,167,
Colombo,,2013/07/20,,,,,,635653,male,0,1,AJ Pycroft,,,,KC Sangakkara,RR Wimalasiri,2013,South Africa in Sri Lanka ODI Series,South Africa,field,South Africa,RJ Tucker,RA Kettleborough,REJ Martinesz,R Premadasa Stadium,Sri Lanka,,180,
Bulawayo,,2013/08/01,,,,,,643675,male,0,4,BC Broad,,,,MM Sharma,LA Ngwenya,2013,India in Zimbabwe ODI Series,India,field,India,O Chirombe,TJ Matibiri,BNJ Oxenford,Queens Sports Club,India,,,9
Nagpur,ICC Cricket World Cup,2011/03/12,,,,,,433586,male,0,29,RS Madugalle,,,,DW Steyn,HDPK Dharmasena,2010/11,,South Africa,bat,India,BR Doctrove,IJ Gould,SJA Taufel,"""Vidarbha Cricket Association Stadium",South Africa,,,3
Dublin,,2013/07/19,,,,,,644945,female,0,2,DT Jukes,,,,,J McGeehan,2013,Pakistan Women in Ireland ODI Series,Pakistan,bat,Pakistan,,AA Baig,L Fourie,YMCA Cricket Club,Pakistan,,89,
Jaipur,,2013/10/16,,,,,,647251,male,0,2,RS Mahanama,,,,RG Sharma,RM Deshpande,2013/14,Australia in India ODI Series,Australia,bat,Australia,C Shamshuddin,RA Kettleborough,VA Kulkarni,Sawai Mansingh Stadium,India,,,9
Port Elizabeth,,2016/02/06,,,,,,800471,male,0,2,J Srinath,,,,AD Hales,S George,2015/16,England in South Africa ODI Series,England,bat,South Africa,CB Gaffaney,JD Cloete,HDPK Dharmasena,St George's Park,England,,,5
Durban,,2006/03/10,,,,,,238199,male,0,4,BC Broad,,,,HH Dippenaar,,2005/06,Australia in South Africa ODI Series,Australia,bat,South Africa,BG Jerling,KH Hurter,JW Lloyds,Kingsmead,Australia,,,1
Guyana,ICC World Cup,2007/04/01,,,,,,247486,male,0,30,JJ Crowe,,,,ST Jayasuriya,SA Bucknor,2006/07,,Sri Lanka,field,West Indies,SJA Taufel,MR Benson,DJ Harper,Providence Stadium,Sri Lanka,,113,
Karachi,Asia Cup,2008/07/06,,,,,,335358,male,0,,AG Hurst,,true,,BAW Mendis,Ahsan Raza,2008,,Sri Lanka,field,India,Zameer Haider,AL Hill,SJA Taufel,National Stadium,Sri Lanka,,100,
Mumbai,ICC Cricket World Cup,2011/04/02,,,,,,433606,male,0,,JJ Crowe,,,,MS Dhoni,SJ Davis,2010/11,,Sri Lanka,bat,Sri Lanka,IJ Gould,Aleem Dar,SJA Taufel,Wankhede Stadium,India,,,6
St Vincent,,2010/03/10,,,,,,439142,male,0,3,RS Mahanama,,,,DJG Sammy,GE Greaves,2009/10,Zimbabwe in West Indies ODI Series,Zimbabwe,field,Zimbabwe,CE Mack,NA Malcolm,SJA Taufel,"""Arnos Vale Ground",West Indies,,141,
Derby,ICC Women's World Cup,2017/07/15,,,,,,1085971,female,0,27,RB Richardson,,true,,M Raj,JM Williams,2017,,New Zealand,field,New Zealand,,S George,CA Polosak,County Ground,India,,186,
,,2014/12/10,2014/12/11,,,,,750671,male,0,5,DC Boon,,,,JE Root,REJ Martinesz,2014/15,England in Sri Lanka ODI Series,England,field,England,BNJ Oxenford,RSA Palliyaguruge,RJ Tucker,Pallekele International Cricket Stadium,England,,,5
Auckland,ICC Cricket World Cup,2015/03/24,,,,,,656491,male,0,,DC Boon,D/L,,,GD Elliott,BNJ Oxenford,2014/15,,South Africa,bat,South Africa,NJ Llong,IJ Gould,RJ Tucker,Eden Park,New Zealand,,,4
Greater Noida,,2017/03/15,,,,,,1040491,male,0,1,GF Labrooy,,true,,WTS Porterfield,,2016/17,Afghanistan v Ireland ODI Series,Ireland,bat,Afghanistan,AK Chaudhary,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground,Afghanistan,,30,
St Saviour,ICC World Cricket League Division Five,2016/05/25,,,,,,979829,male,0,,DT Jukes,,true,,,Tabarak Dar,2016,,Tanzania,field,Oman,,HKG Jansen,AJ Neill,Grainville,Oman,,,9
Dublin,,2014/09/10,,,,,,727937,male,0,2,BC Broad,,,,,L Fourie,2014,Scotland in Ireland ODI Series,Scotland,field,Ireland,,MA Gough,M Hawthorne,"""The Village",Ireland,,,3
Leeds,,2017/05/24,,,,,,1031425,male,0,1,AJ Pycroft,,,,MM Ali,MA Gough,2017,South Africa in England ODI Series,South Africa,field,South Africa,CB Gaffaney,RT Robinson,RJ Tucker,Headingley,England,,72,
Lahore,,2006/02/13,,,,,,236809,male,0,3,BC Broad,,,,MS Dhoni,,2005/06,India in Pakistan ODI Series,India,field,India,Zameer Haider,Asad Rauf,SJA Taufel,Gaddafi Stadium,India,,,5
Antigua,,2010/05/24,,,,,,439148,male,0,2,RS Mahanama,,,,HM Amla,NA Malcolm,2010,South Africa in West Indies ODI Series,South Africa,bat,South Africa,CE Mack,CR Duncan,DJ Harper,"""Sir Vivian Richards Stadium",South Africa,,17,
Hobart,ICC Cricket World Cup,2015/03/11,,,,,,656467,male,0,35,JJ Crowe,,true,,KC Sangakkara,IJ Gould,2014/15,,Sri Lanka,bat,Sri Lanka,MA Gough,RK Illingworth,JS Wilson,Bellerive Oval,Sri Lanka,,148,
Durban,,2011/01/12,,,,,,463150,male,0,1,BC Broad,,,,LL Tsotsobe,JD Cloete,2010/11,India in South Africa ODI Series,India,bat,South Africa,BG Jerling,M Erasmus,SJA Taufel,Kingsmead,South Africa,,135,
Taunton,,2012/07/04,,,,,,542853,female,0,2,DT Jukes,,,,A Sharma,,2012,India Women in England ODI Series,India,field,England,,PK Baldwin,P Willey,County Ground,India,,14,
Barbados,,2016/06/21,,,,,,932863,male,0,8,JJ Crowe,,,,MN Samuels,JS Wilson,2016,West Indies Tri-Nation Series,Australia,field,Australia,HDPK Dharmasena,GO Brathwaite,RA Kettleborough,"""Kensington Oval",Australia,,,6
Canberra,,2016/12/06,,,,,,1001373,male,0,2,RB Richardson,,,,DA Warner,MD Martell,2016/17,Chappell-Hadlee Trophy,New Zealand,field,New Zealand,NJ Llong,HDPK Dharmasena,P Wilson,Manuka Oval,Australia,,116,
Colombo,ICC Women's World Cup Qualifier,2017/02/17,,,,,,1073425,female,0,25,,,true,,MR Meshram,S Redfern,2016/17,,India,field,India,,M Hawthorne,RR Wimalasiri,Nondescripts Cricket Club Ground,India,,,9
Birmingham,,2015/06/09,,,,,,743943,male,0,1,J Srinath,,,,JC Buttler,RT Robinson,2015,New Zealand in England ODI Series,New Zealand,field,New Zealand,SJ Davis,MA Gough,BNJ Oxenford,Edgbaston,England,,210,
Edinburgh,"""ICC World Cricket League Championship",2017/06/11,2017/06/12,,,,,1068739,male,0,39,DT Jukes,D/L,,,,DA Haggo,2017,,Namibia,field,Namibia,,IN Ramage,Sharfuddoula,"""Grange Cricket Club Ground",Scotland,,51,
,,2012/12/12,,,,,,584546,female,0,1,DJ Harper,,,,SW Bates,,2012/13,Rose Bowl,New Zealand,bat,Australia,RG Patterson,NR Johnstone,BNJ Oxenford,Sydney Cricket Ground,New Zealand,,,8
Centurion,,2013/11/30,,,,,,685735,male,0,3,BC Broad,,,,VD Philander,JD Cloete,2013/14,Pakistan in South Africa ODI Series,Pakistan,field,South Africa,BNJ Oxenford,CB Gaffaney,S George,SuperSport Park,South Africa,,,4
Nottingham,World Cup,2019/05/31,,,,,,1144484,male,0,2,JJ Crowe,,,,O Thomas,RSA Palliyaguruge,2019,,West Indies,field,West Indies,S Ravi,CB Gaffaney,M Erasmus,Trent Bridge,West Indies,,,7
Dharmasala,,2016/10/16,,,,,,1030219,male,0,1,RB Richardson,,,,HH Pandya,CK Nandan,2016/17,New Zealand in India ODI Series,New Zealand,field,India,AK Chaudhary,BNJ Oxenford,C Shamshuddin,Himachal Pradesh Cricket Association Stadium,India,,,6
Benoni,ICC World Cup Qualifiers,2009/04/19,,,,,,390253,male,0,,BC Broad,,true,,Mohammad Nabi,KH Hurter,2009,,Scotland,bat,Afghanistan,,GAV Baxter,Enamul Haque,Willowmoore Park,Afghanistan,,89,
Loughborough,,2013/07/03,,,,,,627007,female,0,2,DT Jukes,,,,NR Sciver,,2013,Pakistan Women in England ODI Series,Pakistan,bat,Pakistan,,RJ Bailey,SJ O'Shaughnessy,Haslegrave Ground,England,,,6
Delhi,ICC Cricket World Cup,2011/02/28,,,,,,433569,male,0,13,JJ Crowe,,true,,KAJ Roach,EAR de Silva,2010/11,,West Indies,field,Netherlands,RA Kettleborough,AM Saheba,SJA Taufel,Feroz Shah Kotla,West Indies,,215,
Durban,,2009/04/03,,,,,,350477,male,0,1,RS Madugalle,,,,MEK Hussey,ZTA Ndamane,2008/09,Australia in South Africa ODI Series,Australia,bat,Australia,BG Jerling,EAR de Silva,RE Koertzen,Kingsmead,Australia,,141,
,Commonwealth Bank Series,2007/01/12,,,,,,249232,male,0,1,RS Madugalle,,,,AC Gilchrist,JD Ward,2006/07,,England,bat,England,RL Parry,IL Howell,SJA Taufel,Melbourne Cricket Ground,Australia,,,8
,Sri Lanka Triangular Series,2010/08/28,,,,,,456668,male,0,,AG Hurst,,,,TM Dilshan,SH Sarathkumara,2010,,India,bat,Sri Lanka,TH Wijewardene,Asad Rauf,EAR de Silva,Rangiri Dambulla International Stadium,Sri Lanka,,74,
Chittagong,,2010/03/05,,,,,,426422,male,0,3,JJ Crowe,,,,C Kieswetter,Masudur Rahman,2009/10,England in Bangladesh ODI Series,England,field,Bangladesh,Sharfuddoula,Enamul Haque,RJ Tucker,Zohur Ahmed Chowdhury Stadium,England,,45,
Antigua,,2006/04/30,,,,,,239908,male,0,2,BC Broad,,,,JE Taylor,,2006,Zimbabwe in West Indies ODI Series,Zimbabwe,bat,West Indies,BR Doctrove,BF Bowden,SA Bucknor,"""Antigua Recreation Ground",West Indies,,98,
Faisalabad,,2008/01/30,,,,,,325803,male,0,4,BC Broad,,,,Shoaib Malik,Shozab Raza,2007/08,Zimbabwe in Pakistan ODI Series,Zimbabwe,bat,Zimbabwe,Zameer Haider,Aleem Dar,EAR de Silva,Iqbal Stadium,Pakistan,,,7
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/07,,,,,,576412,male,0,,DT Jukes,,true,,Abhiraj Singh,B Ramani,2012,,Tanzania,field,Singapore,,REJ Martinesz,DN Subedi,Selangor Turf Club,Singapore,,,8
Canberra,ICC Cricket World Cup,2015/02/24,,,,,,656427,male,0,15,RS Mahanama,D/L,true,,CH Gayle,RA Kettleborough,2014/15,,Zimbabwe,bat,West Indies,REJ Martinesz,SJ Davis,IJ Gould,Manuka Oval,West Indies,,73,
Kuala Lumpur,Asian Cricket Council Premier League,2014/05/05,,,,,,736515,male,0,10,Tan Kim Hing,,true,,Samiullah Shenwari,Sarika Prasad,2014,,Oman,field,Afghanistan,,L Poobalan,N Sivan,Selangor Turf Club,Afghanistan,,,5
Durban,,2007/02/07,,,,,,250669,male,0,2,BC Broad,,,,Younis Khan,M Erasmus,2006/07,Pakistan in South Africa ODI Series,Pakistan,bat,Pakistan,RE Koertzen,SA Bucknor,BG Jerling,Kingsmead,Pakistan,,141,
,,2006/02/10,,,,,,236358,male,0,1,JJ Crowe,,,,KC Sangakkara,,2005/06,VB Series,Sri Lanka,bat,Sri Lanka,RL Parry,Aleem Dar,DJ Harper,Adelaide Oval,Sri Lanka,,22,
Napier,ICC Cricket World Cup,2015/03/15,,,,,,656479,male,0,41,BC Broad,,true,,JO Holder,HDPK Dharmasena,2014/15,,West Indies,field,West Indies,RA Kettleborough,Aleem Dar,REJ Martinesz,McLean Park,West Indies,,,6
Colombo,,2011/02/03,,,,,,464991,male,0,2,AJ Pycroft,D/L,,,WU Tharanga,RMPJ Rambukwella,2010/11,West Indies in Sri Lanka ODI Series,West Indies,field,Sri Lanka,REJ Martinesz,HDPK Dharmasena,BNJ Oxenford,Sinhalese Sports Club Ground,Sri Lanka,,,8
Colombo,ICC World Twenty20,2012/09/19,,,,,,533273,male,0,2,RS Madugalle,,true,,SR Watson,SJA Taufel,2012/13,,Ireland,bat,Ireland,Asad Rauf,Aleem Dar,HDPK Dharmasena,R Premadasa Stadium,Australia,,,7
Los Angeles,ICC World Cricket League Division Four,2016/10/30,,,,,,1062501,male,0,,D Govindjee,,true,,SA Ahmad,K Cross,2016/17,,Jersey,field,Denmark,,GO Brathwaite,A Kapa,"""Wright Cricket Field",Denmark,,,6
Hambantota,,2011/08/14,,,,,,516207,male,0,2,J Srinath,,,,RT Ponting,EAR de Silva,2011,Australia in Sri Lanka ODI Series,Australia,bat,Sri Lanka,Asad Rauf,AL Hill,RSA Palliyaguruge,"""Mahinda Rajapaksa International Cricket Stadium",Australia,,,8
Mirpur,,2009/10/27,,,,,,422626,male,0,1,RS Madugalle,,,,E Chigumbura,Anisur Rahman,2009/10,Zimbabwe in Bangladesh ODI Series,Zimbabwe,field,Zimbabwe,Enamul Haque,Aleem Dar,Nadir Shah,Shere Bangla National Stadium,Zimbabwe,,,5
Auckland,,2007/02/18,,,,,,251495,male,0,2,MJ Procter,,,,LRPL Taylor,BG Frost,2006/07,Chappell-Hadlee Trophy,Australia,field,New Zealand,BF Bowden,Aleem Dar,AL Hill,Eden Park,New Zealand,,,5
,Asian Cricket Council Women's Twenty20 Asia Cup,2012/10/30,,,,,,584928,female,0,,RJ Ratnayake,,true,,Nida Dar,Han Guangze,2012/13,,Pakistan,field,Pakistan,,Sarika Prasad,B Ramani,Guanggong International Cricket Stadium,Pakistan,,,6
,,2016/01/06,,,,,,953343,male,0,5,DT Jukes,,true,,Gulbadin Naib,Iftikhar Ali,2015/16,Afghanistan v Zimbabwe ODI Series,Zimbabwe,bat,Zimbabwe,VA Kulkarni,AK Chaudhary,C Shamshuddin,Sharjah Cricket Stadium,Afghanistan,,,2
Padang,ICC World Cricket League Division Four,2014/06/22,,,,,,749547,male,0,,SR Bernard,,true,,Zeeshan Siddiqui,N Morrison,2014,,Oman,bat,Jersey,,Ahmed Shah Durrani,C Howard,Singapore Cricket Club,Oman,,,7
Hambantota,,2017/07/08,,,,,,1104481,male,0,4,BC Broad,D/L,,,CR Ervine,RSA Palliyaguruge,2017,Zimbabwe in Sri Lanka ODI Series,Zimbabwe,bat,Sri Lanka,IJ Gould,NJ Llong,REJ Martinesz,"""Mahinda Rajapaksa International Cricket Stadium",Zimbabwe,,,4
Colombo,ICC Women's World Cup Qualifier,2017/02/10,,,,,,1073411,female,0,11,,,true,,MDT Kamini,RR Wimalasiri,2016/17,,Ireland,bat,India,,IN Ramage,S Redfern,P Sara Oval,India,,125,
Bermuda,ICC World Cricket League Division Three,2013/04/28,,,,,,628081,male,0,,DT Jukes,,true,,Steven Ryan Taylor,R Dill,2013,,United States of America,field,Nepal,,S Douglas,V Kalidas,Somerset Cricket Club,United States of America,,94,
Antigua,ICC World Cup,2007/04/08,,,,,,247491,male,0,35,MJ Procter,,true,,SW Tait,NA Malcolm,2006/07,,England,bat,England,Asad Rauf,BF Bowden,RE Koertzen,"""Sir Vivian Richards Stadium",Australia,,,7
Southampton,,2009/09/09,,,,,,350045,male,0,3,RS Mahanama,,,,CL White,NJ Llong,2009,NatWest Series,Australia,bat,England,RA Kettleborough,PJ Hartley,AL Hill,The Rose Bowl,Australia,,,6
Fatullah,,2006/04/28,,,,,,238175,male,0,3,JJ Crowe,,,,MJ Cosgrove,,2005/06,Australia in Bangladesh ODI Series,Australia,bat,Bangladesh,AFM Akhtaruddin,IL Howell,Nadir Shah,Narayanganj Osmani Stadium,Australia,,,9
Mount Maunganui,,2014/10/24,,,,,,749773,male,0,2,RS Mahanama,,,,HM Amla,PD Jones,2014/15,South Africa in New Zealand ODI Series,South Africa,field,New Zealand,RJ Tucker,SJ Davis,DJ Walker,Bay Oval,South Africa,,72,
Benoni,,2016/09/25,,,,,,936131,male,0,,BC Broad,,,,T Bavuma,BP Jele,2016/17,,Ireland,field,Ireland,NJ Llong,S George,JS Wilson,Willowmoore Park,South Africa,,206,
,,2016/09/30,,,,,,1050223,male,0,1,AJ Pycroft,D/L,true,,Babar Azam,Shozab Raza,2016/17,Pakistan v West Indies ODI Series,West Indies,field,West Indies,S Ravi,Ahsan Raza,RSA Palliyaguruge,Sharjah Cricket Stadium,Pakistan,,111,
Bloemfontein,,2013/03/10,,,,,,567368,male,0,1,AJ Pycroft,,,,CA Ingram,S George,2012/13,Pakistan in South Africa ODI Series,Pakistan,field,Pakistan,BF Bowden,JD Cloete,HDPK Dharmasena,Chevrolet Park,South Africa,,125,
Abu Dhabi,,2013/12/27,,,,,,657645,male,0,5,J Srinath,,true,,LD Chandimal,Ahsan Raza,2013/14,Pakistan v Sri Lanka ODI Series,Sri Lanka,bat,Pakistan,RK Illingworth,JD Cloete,Shozab Raza,Sheikh Zayed Stadium,Sri Lanka,,,2
Hobart,Commonwealth Bank Series,2007/01/16,,,,,,249236,male,0,3,RS Madugalle,,true,,A Flintoff,BJ Muir,2006/07,,New Zealand,bat,New Zealand,DJ Harper,Asad Rauf,SJ Davis,Bellerive Oval,England,,,3
Trinidad,,2011/06/06,,,,,,489221,male,0,1,JJ Crowe,,,,RG Sharma,JS Wilson,2011,India in West Indies ODI Series,India,bat,West Indies,NA Malcolm,IJ Gould,PJ Nero,"""Queen's Park Oval",India,,,4
Jamaica,,2009/06/28,,,,,,377314,male,0,2,BC Broad,,,,R Rampaul,C Fletcher,2009,India in West Indies ODI Series,India,bat,India,CE Mack,NJ Llong,NA Malcolm,"""Sabina Park",West Indies,,,8
,,2013/07/01,,,,,,627006,female,0,1,DT Jukes,,,,JL Gunn,,2013,Pakistan Women in England ODI Series,Pakistan,bat,England,,MJD Bodenham,SA Garratt,Louth Cricket Club,England,,111,
,,2012/08/04,,,,,,564785,male,0,5,BC Broad,,,,IK Pathan,HMNC Dhanasinghe,2012,India in Sri Lanka ODI Series,India,bat,India,RSA Palliyaguruge,BNJ Oxenford,TH Wijewardene,Pallekele International Cricket Stadium,India,,20,
Centurion,,2015/01/28,,,,,,722347,male,0,5,BC Broad,,,,RR Rossouw,S George,2014/15,West Indies in South Africa ODI Series,West Indies,field,West Indies,SJ Davis,JD Cloete,S Ravi,SuperSport Park,South Africa,,131,
Kolkata,ICC Cricket World Cup,2011/03/18,,,,,,433595,male,0,37,RS Madugalle,,true,,PR Stirling,EAR de Silva,2010/11,,Netherlands,field,Ireland,HDPK Dharmasena,BR Doctrove,IJ Gould,Eden Gardens,Ireland,,,6
Mirpur,,2007/05/10,,,,,,282688,male,0,1,RS Mahanama,,,,MS Dhoni,Syed Mahabubullah,2007,India in Bangladesh ODI Series,India,bat,Bangladesh,AFM Akhtaruddin,EAR de Silva,Nadir Shah,Shere Bangla National Stadium,India,,,5
Kuala Lumpur,ICC World Cricket League Division Three,2014/10/24,,,,,,785969,male,0,,D Govindjee,,true,,B Bhandari,V Kalidas,2014/15,,Nepal,field,Nepal,,AW Louw,Sri Ganesh,Selangor Turf Club,Nepal,,,8
,,2011/08/12,,,,,,522246,male,0,1,RS Mahanama,,,,BV Vitori,L Rusere,2011,Bangladesh in Zimbabwe ODI Series,Bangladesh,field,Zimbabwe,TJ Matibiri,HDPK Dharmasena,RB Tiffin,Harare Sports Club,Zimbabwe,,,4
Bulawayo,Zimbabwe Triangular Series,2010/06/01,,,,,,452148,male,0,3,JJ Crowe,,,,S Randiv,LA Ngwenya,2010,,Sri Lanka,field,Sri Lanka,RB Tiffin,O Chirombe,RE Koertzen,Queens Sports Club,Sri Lanka,,,9
Singapore,ICC World Cricket League Division Four,2014/06/27,,,,,,749563,male,0,,SR Bernard,,true,,Ahmed Faiz Mohammad Noor,Ahmed Shah Durrani,2014,,Oman,field,Malaysia,,Akbar Ali,RSA Palliyaguruge,Kallang Ground,Malaysia,,,6
Brisbane,,2006/01/17,,,,,,226383,male,0,3,JJ Crowe,,true,,KC Sangakkara,,2005/06,VB Series,Sri Lanka,field,South Africa,PD Parker,Aleem Dar,DJ Harper,"""Brisbane Cricket Ground",Sri Lanka,,94,
Benoni,ICC World Cricket League Africa Region Qualifiers,2017/04/13,,,,,,1089148,male,0,13,D Govindjee,D/L,true,,KN Mussa,C Thorburn,2017,,Tanzania,bat,Tanzania,,PM Musoke,IO Oyieko,Willowmoore Park,Tanzania,,165,
,ICC Cricket World Cup,2015/02/26,,,,,,656433,male,0,18,JJ Crowe,,true,,TM Dilshan,JS Wilson,2014/15,,Sri Lanka,bat,Sri Lanka,RA Kettleborough,Aleem Dar,PR Reiffel,Melbourne Cricket Ground,Sri Lanka,,92,
Perth,,2014/11/14,,,,,,754723,male,0,1,J Srinath,,,,NM Coulter-Nile,JD Ward,2014/15,South Africa in Australia ODI Series,South Africa,field,South Africa,BF Bowden,SD Fry,NJ Llong,Western Australia Cricket Association Ground,Australia,,32,
Taunton,ICC Women's World Cup,2017/06/29,,,,,,1085951,female,0,7,SR Bernard,,true,,S Mandhana,K Cross,2017,,West Indies,field,India,,S George,CA Polosak,County Ground,India,,,7
,,2014/12/14,,,,,,742623,male,0,3,RS Mahanama,,true,,Ahmed Shehzad,Ahsan Raza,2014/15,Pakistan v New Zealand ODI Series,Pakistan,bat,Pakistan,RK Illingworth,Shozab Raza,JS Wilson,Sharjah Cricket Stadium,Pakistan,,147,
Birmingham,,2016/06/24,,,,,,913625,male,0,2,DC Boon,,,,JJ Roy,RT Robinson,2016,Sri Lanka in England ODI Series,Sri Lanka,bat,Sri Lanka,PR Reiffel,MA Gough,BNJ Oxenford,Edgbaston,England,,,10
Benoni,,2016/09/27,,,,,,936133,male,0,,BC Broad,,true,,UT Khawaja,AT Holdstock,2016/17,,Ireland,bat,Ireland,JS Wilson,BP Jele,NJ Llong,Willowmoore Park,Australia,,,9
Auckland,,2011/02/05,,,,,,473928,male,0,6,AG Hurst,,,,JD Ryder,WR Knights,2010/11,Pakistan in New Zealand ODI Series,Pakistan,field,Pakistan,BF Bowden,SJ Davis,AL Hill,Eden Park,New Zealand,,57,
Grenada,,2008/06/29,,,,,,319145,male,0,3,RS Mahanama,,,,SR Watson,CR Duncan,2008,Australia in West Indies ODI Series,Australia,field,Australia,BR Doctrove,Asad Rauf,NA Malcolm,"""National Cricket Stadium",Australia,,,7
St Vincent,,2010/03/12,,,,,,439143,male,0,4,RS Mahanama,,,,DJ Bravo,CE Mack,2009/10,Zimbabwe in West Indies ODI Series,Zimbabwe,field,West Indies,GE Greaves,NA Malcolm,SJA Taufel,"""Arnos Vale Ground",West Indies,,,4
Singapore,ICC World Cricket League Division Four,2014/06/27,,,,,,749567,male,0,,SR Bernard,,,,CR Kumarage,B Manikandan,2014,,Jersey,field,Singapore,,Ahmed Shah Pakteen,C Howard,Indian Association Ground,Singapore,,,5
Kolkata,ICC Cricket World Cup,2011/03/15,,,,,,433591,male,0,34,RS Madugalle,,true,,JP Duminy,IJ Gould,2010/11,,South Africa,field,Ireland,SJA Taufel,HDPK Dharmasena,BR Doctrove,Eden Gardens,South Africa,,131,
,,2017/03/25,,,,,,1083446,male,0,1,AJ Pycroft,,,,Tamim Iqbal,RR Wimalasiri,2016/17,Bangladesh in Sri Lanka ODI Series,Bangladesh,field,Sri Lanka,S Ravi,MA Gough,REJ Martinesz,Rangiri Dambulla International Stadium,Bangladesh,,90,
,,2016/06/11,,,,,,1007649,male,0,1,RB Richardson,,,,KL Rahul,I Chabi,2016,India in Zimbabwe ODI Series,India,field,India,TJ Matibiri,IJ Gould,RB Tiffin,Harare Sports Club,India,,,9
Dublin,,2013/05/23,,,,,,601612,male,0,1,JJ Crowe,D/L,,tie,KJ O'Brien,L Fourie,2013,Pakistan in Ireland ODI Series,Pakistan,bat,Pakistan,,IJ Gould,RP Smith,Clontarf Cricket Club Ground,,,,
Antigua,,2014/03/02,,,,,,636534,male,0,2,AJ Pycroft,,,,SD Parry,GO Brathwaite,2013/14,England in West Indies ODI Series,England,field,England,M Erasmus,RJ Tucker,JS Wilson,"""Sir Vivian Richards Stadium",England,,,3
Delhi,,2014/10/11,,,,,,770123,male,0,2,JJ Crowe,,,,Mohammed Shami,RM Deshpande,2014/15,West Indies in India ODI Series,West Indies,bat,India,C Shamshuddin,IJ Gould,S Ravi,Feroz Shah Kotla,India,,48,
Nagpur,ICC Cricket World Cup,2011/02/22,,,,,,433562,male,0,5,RS Madugalle,,true,,RN ten Doeschate,SJ Davis,2010/11,,Netherlands,bat,Netherlands,HDPK Dharmasena,Asad Rauf,BNJ Oxenford,"""Vidarbha Cricket Association Stadium",England,,,6
St Lucia,ICC World Twenty20,2010/05/14,,,,,,412702,male,0,,RS Madugalle,,true,,MEK Hussey,RE Koertzen,2010,,Pakistan,field,Australia,BF Bowden,BR Doctrove,IJ Gould,"""Beausejour Stadium",Australia,,,3
Cape Town,,2007/02/11,,,,,,250671,male,0,4,BC Broad,,,,SM Pollock,MW Brown,2006/07,Pakistan in South Africa ODI Series,Pakistan,field,South Africa,M Erasmus,BG Jerling,RB Tiffin,Newlands,South Africa,,,10
,,2013/08/29,,,,,,659551,male,0,2,JJ Crowe,,,,Mohammad Hafeez,I Chabi,2013,Pakistan in Zimbabwe ODI Series,Pakistan,field,Zimbabwe,TJ Matibiri,O Chirombe,RK Illingworth,Harare Sports Club,Pakistan,,90,
Brisbane,,2010/11/07,,,,,,446959,male,0,3,BC Broad,,,,CJ McKay,AJ Barrow,2010/11,Sri Lanka in Australia ODI Series,Sri Lanka,bat,Sri Lanka,BNJ Oxenford,M Erasmus,PR Reiffel,"""Brisbane Cricket Ground",Australia,,,8
