match_id,inning-batting,name,position,over-batsman,score,balls_bat,dots,ones,twos,threes,fours,sixes,out,balls_bowl,maidens,runs_bowled,wickets,bowler_extras,wicket_score,wicket_overs,wicket_no,wicket_bowler
667729,1,ST Finn,0,0.0,0,0,0,0,0,0,0,0,0,53,1,35,2,1,0,0.0,0,0
870887,1,MR Swart,1,0.1,2,8,6,2,0,0,0,0,bowled,18,0,20,0,0,5,1.6,1,N Vanua
870887,1,SJ Myburgh,2,0.1,34,28,14,4,3,0,6,0,caught,0,0,0,0,0,64,10.3,3,JB Reva
870887,1,BN Cooper,3,2.1,22,26,16,4,2,0,2,1,stumped,0,0,0,0,0,61,9.6,2,CA Soper
870887,1,PW Borren,4,9.7,105,110,42,47,10,0,5,3,0,6,0,7,0,0,0,0.0,0,0
870887,1,W Barresi,5,10.4,23,27,14,7,3,0,1,1,bowled,0,0,0,0,0,104,19.1,4,MD Dai
870887,1,PM Seelaar,6,19.2,22,32,17,12,1,0,2,0,caught,24,1,22,2,1,146,29.3,5,A Vala
870887,1,MJG Rippon,7,29.4,23,36,16,19,0,0,1,0,caught,60,0,53,2,1,211,41.4,6,N Vanua
870887,1,Mudassar Bukhari,8,41.5,51,32,11,10,2,1,4,3,0,54,2,25,0,0,0,0.0,0,0
870887,2,TP Ura,1,0.1,16,33,22,6,1,0,2,0,stumped,0,0,0,0,0,43,10.5,2,MJG Rippon
870887,2,L Siaka,2,0.1,11,9,4,2,1,1,1,0,caught,12,0,7,0,0,18,2.3,1,T van der Gugten
870887,2,A Vala,3,2.4,25,33,20,9,0,0,4,0,run out,30,0,28,1,1,68,15.2,3,Mudassar Bukhari
870887,2,S Bau,4,10.6,41,53,32,9,8,0,4,0,bowled,24,0,16,0,0,136,27.1,5,PM Seelaar
870887,2,MD Dai,5,15.3,0,2,2,0,0,0,0,0,caught,24,0,18,1,0,70,16.2,4,MJG Rippon
870887,2,K Pala,6,16.3,56,42,18,14,0,0,9,1,caught and bowled,0,0,0,0,0,162,30.5,6,PA van Meekeren
870887,2,JNT Vare,7,27.2,25,31,13,13,2,0,2,0,run out,0,0,0,0,0,208,39.1,8,T van der Gugten
870887,2,JB Reva,8,30.6,2,4,3,0,1,0,0,0,caught and bowled,42,0,56,1,0,165,31.4,7,PM Seelaar
870887,2,CA Soper,9,31.5,28,31,17,7,3,1,3,0,caught,47,0,42,1,2,212,40.3,10,Ahsan Malik
870887,2,N Vanua,10,39.2,0,1,1,0,0,0,0,0,lbw,60,0,44,2,1,208,39.2,9,T van der Gugten
870887,2,WT Gavera,11,39.3,0,4,4,0,0,0,0,0,0,60,0,71,0,1,0,0.0,0,0
870887,1,T van der Gugten,0,0.0,0,0,0,0,0,0,0,0,0,42,1,39,2,1,0,0.0,0,0
870887,1,Ahsan Malik,0,0.0,0,0,0,0,0,0,0,0,0,27,0,26,1,0,0,0.0,0,0
870887,1,PA van Meekeren,0,0.0,0,0,0,0,0,0,0,0,0,12,0,12,1,2,0,0.0,0,0
463154,1,GC Smith,1,0.1,7,11,7,3,0,0,1,0,caught,0,0,0,0,0,16,2.3,1,Z Khan
463154,1,HM Amla,2,0.1,116,132,47,68,6,0,9,0,0,0,0,0,0,0,0,0.0,0,0
463154,1,MN van Wyk,3,2.4,56,63,34,17,2,1,8,0,caught and bowled,0,0,0,0,0,113,22.2,2,Yuvraj Singh
463154,1,AB de Villiers,4,22.3,11,12,5,5,1,0,1,0,stumped,0,0,0,0,0,129,26.1,3,Yuvraj Singh
463154,1,JP Duminy,5,26.2,35,44,13,29,1,0,1,0,caught and bowled,0,0,0,0,0,231,42.3,4,MM Patel
463154,1,F du Plessis,6,42.4,8,6,1,4,0,0,1,0,bowled,6,0,13,0,0,242,44.2,5,MM Patel
463154,1,J Botha,7,44.3,2,2,1,0,1,0,0,0,caught,48,0,33,1,0,244,44.4,6,MM Patel
463154,1,RJ Peterson,8,44.5,4,2,1,0,0,0,1,0,bowled,42,0,44,1,1,250,45.2,7,Z Khan
463154,1,DW Steyn,9,45.3,0,1,1,0,0,0,0,0,run out,54,1,31,2,1,250,45.3,8,Z Khan
463154,1,M Morkel,10,45.4,0,2,2,0,0,0,0,0,run out,48,0,51,4,1,250,45.5,9,Z Khan
463154,1,LL Tsotsobe,11,45.6,0,1,1,0,0,0,0,0,0,44,0,55,2,2,0,0.0,0,0
463154,2,PA Patel,1,0.1,38,34,18,7,2,1,6,0,caught,0,0,0,0,0,60,10.6,4,M Morkel
463154,2,RG Sharma,2,0.1,5,8,6,1,0,0,1,0,bowled,12,0,14,0,0,21,3.6,1,LL Tsotsobe
463154,2,V Kohli,3,4.1,2,6,4,2,0,0,0,0,caught,0,0,0,0,0,31,6.1,2,M Morkel
463154,2,MS Dhoni,4,6.2,5,10,8,1,0,0,1,0,caught,0,0,0,0,0,45,8.3,3,M Morkel
