city,competition,date_0,file_no,gender,index,match_number,match_referee,neutralvenue,player_of_match,reserve_umpire,season,series,team_0,team_1,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_runs,winner_wickets
,World T20,2014/03/21,682919,male,0,12,DC Boon,true,SJ Myburgh,BNJ Oxenford,2013/14,,Ireland,Netherlands,field,Netherlands,BF Bowden,SJ Davis,IJ Gould,Sylhet Stadium,Netherlands,,6
Chennai,,2012/09/11,565820,male,0,2,BC Broad,,BB McCullum,C Shamshuddin,2012,New Zealand in India T20I Series,India,New Zealand,field,India,S Asnani,VA Kulkarni,S Ravi,"""MA Chidambaram Stadium",New Zealand,1,
